Ticker,Industry,Market Cap,Price,Price2,Change,Volume,Change2
ACIW,Technical & System Software,"1,837.89",£47.04,$47.04,1.01%,"59,475.70",1.07%
ACXM,Information Technology Services,"1,754.84",£23.95,£23.95,0.55%,"114,570.00",0.55%
ADBE,Application Software,"23,170.76",£46.61,£46.61,1.26%,"808,302.00",1.26%
ADI,Semiconductor - Integrated Circuits,"13,930.29",£45.80,£45.80,1.08%,"339,210.00",1.08%
ADP,Business Software & Services,"33,827.62",£70.28,£70.28,0.29%,"481,525.00",0.29%
ADSK,Technical & System Software,"7,495.06",£33.53,£33.53,0.12%,"1,156,350.00",0.12%
ADTN,Communication Equipment,"1,557.31",£24.83,£24.83,-1.39%,"310,397.00",-1.39%
ADVS,Application Software,"1,777.29",£35.08,£35.08,-0.20%,"40,206.00",-0.20%
AKAM,Internet Information Providers,"7,569.60",£42.78,£42.78,0.54%,"256,017.00",0.54%
AMSWA,Application Software,239.30,£8.80,£8.80,0.00%,"1,435.00",0.00%
ARRS,Communication Equipment,"1,673.13",£14.47,£14.47,-0.45%,"420,539.00",-0.45%
ATNI,Telecom Services - Domestic,782.21,£49.70,£49.70,-0.96%,"21,063.00",-0.96%
AWAY,Internet Information Providers,"2,644.11",£31.54,£31.54,0.13%,"193,553.00",0.13%
AYI,Diversified Electronics,"3,426.52",£81.35,£81.35,-0.05%,"246,730.00",-0.05%
AZPN,Business Software & Services,"2,745.35",£29.57,£29.57,0.96%,"99,726.00",0.96%
BIO,Scientific & Technical Instruments,"3,212.41",£113.35,£113.35,0.54%,"7,010.00",0.54%
BIRT,Application Software,324.73,£6.79,£6.79,0.74%,"15,432.00",0.74%
BLKB,Business Software & Services,"1,465.86",£33.18,£33.18,0.67%,"26,108.00",0.67%
BMI,Scientific & Technical Instruments,632.14,£44.22,£44.22,-1.05%,"24,404.00",-1.05%
BR,Information & Delivery Services,"3,263.92",£27.12,£27.12,0.71%,"72,660.00",0.71%
BRC,Security Software & Services,"1,591.29",£30.94,£30.94,-0.03%,"12,875.00",-0.03%
BRCD,Data Storage Devices,"2,591.92",£5.77,£5.77,0.87%,"1,528,631.00",0.87%
BRKR,Scientific & Technical Instruments,"2,657.41",£15.48,£15.48,-3.07%,"524,986.00",-3.07%
BSFT,Application Software,800.34,£28.88,£28.88,0.94%,"134,468.00",0.94%
